Town,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,4/09/20,4/10/20
Andover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Ansonia,0,1,1,1,2,3,3,6,7,11,17,22,25,30,34,35,38,39,48,49,59
Ashford,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4
Avon,0,1,1,2,4,4,6,6,6,9,10,10,11,11,11,11,11,12,13,14,15
Barkhamsted,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,5
Beacon Falls,1,1,1,1,1,1,1,1,1,2,3,6,8,9,10,11,11,12,13,14,15
Berlin,1,2,2,2,3,6,9,10,11,11,11,14,14,16,16,17,23,24,30,35,41
Bethany,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,6,6,6
Bethel,0,2,5,6,10,10,11,17,29,35,37,38,39,52,53,61,73,79,83,90,99
Bethlehem,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5
Bloomfield,0,0,0,1,1,2,3,6,6,8,11,16,20,25,28,33,41,47,60,67,75
Bolton,1,1,1,1,2,2,2,2,2,2,2,2,3,4,4,4,5,5,5,6,6
Bozrah,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2
Branford,0,0,2,5,6,6,12,12,12,14,19,22,23,28,33,40,49,54,61,71,77
Bridgeport,8,9,9,16,27,32,41,42,52,60,86,105,115,145,150,163,236,346,429,564,632
Bridgewater,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3
Bristol,0,0,0,1,2,2,7,8,9,9,9,15,18,24,26,27,40,57,67,95,104
Brookfield,3,6,8,13,23,24,29,35,52,58,58,58,59,72,73,81,88,88,91,91,95
Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
Burlington,0,1,1,1,1,1,3,4,4,4,5,5,5,6,6,6,6,6,7,9,11
Canaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Canton,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,5,6,7,7
Chaplin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire,0,0,0,0,0,3,6,8,9,13,18,20,20,26,27,27,30,33,36,39,42
Chester,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,8,9,9,12,17,19
Clinton,1,1,1,1,2,4,5,5,5,5,7,8,7,7,7,7,8,11,13,15,16
Colchester,0,0,0,0,0,1,1,2,2,2,2,3,3,4,4,4,6,6,7,7,7
Colebrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Cornwall,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coventry,0,0,0,1,3,3,3,4,4,4,4,4,4,5,5,5,6,6,7,7,8
Cromwell,0,0,1,1,1,1,1,3,4,4,5,7,7,9,9,11,14,15,17,18,21
Danbury,4,8,15,29,63,69,85,123,182,218,223,227,231,402,418,470,570,609,622,632,650
Darien,6,8,11,13,14,14,20,26,40,44,69,72,77,91,94,100,109,112,113,127,129
Deep River,0,0,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,5,7
Derby,0,0,0,1,1,2,3,3,6,6,9,14,13,18,19,19,23,26,28,29,34
Durham,0,0,0,0,0,1,1,1,1,1,1,2,3,4,4,4,6,7,8,8,9
East Granby,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
East Haddam,0,0,0,0,0,0,0,0,1,2,2,2,2,5,5,5,5,5,5,6,6
East Hampton,1,1,1,1,2,1,1,2,3,3,3,4,4,4,4,4,5,6,6,5,5
East Hartford,1,1,1,2,4,4,3,5,11,17,21,23,26,34,39,40,48,60,79,86,92
East Haven,0,0,1,3,5,5,7,7,7,7,13,16,17,31,35,37,50,56,68,76,85
East Lyme,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,5,6,8,9
East Windsor,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,8,10,11
