name,date,cases,hospitalizations,deaths,level
Connecticut,2020-03-08,1,NA,0,state
Fairfield,2020-03-08,1,NA,0,county
Hartford,2020-03-08,0,NA,0,county
Litchfield,2020-03-08,0,NA,0,county
Middlesex,2020-03-08,0,NA,0,county
New Haven,2020-03-08,0,NA,0,county
New London,2020-03-08,0,NA,0,county
Tolland,2020-03-08,0,NA,0,county
Windham,2020-03-08,0,NA,0,county
Connecticut,2020-03-09,1,NA,0,state
Fairfield,2020-03-09,1,NA,0,county
Hartford,2020-03-09,0,NA,0,county
Litchfield,2020-03-09,0,NA,0,county
Middlesex,2020-03-09,0,NA,0,county
New Haven,2020-03-09,0,NA,0,county
New London,2020-03-09,0,NA,0,county
Tolland,2020-03-09,0,NA,0,county
Windham,2020-03-09,0,NA,0,county
Connecticut,2020-03-10,1,NA,0,state
Fairfield,2020-03-10,1,NA,0,county
Hartford,2020-03-10,0,NA,0,county
Litchfield,2020-03-10,0,NA,0,county
Middlesex,2020-03-10,0,NA,0,county
New Haven,2020-03-10,0,NA,0,county
New London,2020-03-10,0,NA,0,county
Tolland,2020-03-10,0,NA,0,county
Windham,2020-03-10,0,NA,0,county
Connecticut,2020-03-11,3,NA,0,state
Fairfield,2020-03-11,2,NA,0,county
Hartford,2020-03-11,0,NA,0,county
Litchfield,2020-03-11,1,NA,0,county
Middlesex,2020-03-11,0,NA,0,county
New Haven,2020-03-11,0,NA,0,county
New London,2020-03-11,0,NA,0,county
Tolland,2020-03-11,0,NA,0,county
Windham,2020-03-11,0,NA,0,county
Connecticut,2020-03-12,5,NA,0,state
Fairfield,2020-03-12,4,NA,0,county
Hartford,2020-03-12,0,NA,0,county
Litchfield,2020-03-12,1,NA,0,county
Middlesex,2020-03-12,0,NA,0,county
New Haven,2020-03-12,0,NA,0,county
New London,2020-03-12,0,NA,0,county
Tolland,2020-03-12,0,NA,0,county
Windham,2020-03-12,0,NA,0,county
Connecticut,2020-03-13,8,NA,0,state
Fairfield,2020-03-13,5,NA,0,county
Hartford,2020-03-13,0,NA,0,county
Litchfield,2020-03-13,3,NA,0,county
Middlesex,2020-03-13,0,NA,0,county
New Haven,2020-03-13,0,NA,0,county
New London,2020-03-13,0,NA,0,county
Tolland,2020-03-13,0,NA,0,county
Windham,2020-03-13,0,NA,0,county
Connecticut,2020-03-14,20,NA,0,state
Fairfield,2020-03-14,15,NA,0,county
