Town,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,4/18/20,4/19/20
Andover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2
Ansonia,0,1,1,1,2,3,3,6,7,11,17,22,25,30,34,35,38,39,48,49,59,68,76,88,93,94,103,111,112,114
Ashford,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Avon,0,1,1,2,4,4,6,6,6,9,10,10,11,11,11,11,11,12,13,14,15,16,17,19,20,23,26,28,29,30
Barkhamsted,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,5,6,7,7,7,8,9,10,11,11
Beacon Falls,1,1,1,1,1,1,1,1,1,2,3,6,8,9,10,11,11,12,13,14,15,16,17,19,20,19,19,20,24,23
Berlin,1,2,2,2,3,6,9,10,11,11,11,14,14,16,16,17,23,24,30,35,41,42,42,51,53,53,55,58,62,65
Bethany,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,6,6,6,6,9,8,9,10,11,13,14,14
Bethel,0,2,5,6,10,10,11,17,29,35,37,38,39,52,53,61,73,79,83,90,99,103,103,113,111,113,118,127,129,132
Bethlehem,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,7
Bloomfield,0,0,0,1,1,2,3,6,6,8,11,16,20,25,28,33,41,47,60,67,75,77,79,88,99,108,127,136,153,155
Bolton,1,1,1,1,2,2,2,2,2,2,2,2,3,4,4,4,5,5,5,6,6,6,8,8,8,8,8,9,9,9
Bozrah,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,3,4,4,4,4,4
Branford,0,0,2,5,6,6,12,12,12,14,19,22,23,28,33,40,49,54,61,71,77,88,100,110,113,121,150,170,176,181
Bridgeport,8,9,9,16,27,32,41,42,52,60,86,105,115,145,150,163,236,346,429,564,632,680,712,786,859,919,1042,1121,1199,1230
Bridgewater,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5
Bristol,0,0,0,1,2,2,7,8,9,9,9,15,18,24,26,27,40,57,67,95,104,137,145,169,177,180,213,224,238,241
Brookfield,3,6,8,13,23,24,29,35,52,58,58,58,59,72,73,81,88,88,91,91,95,94,94,94,94,96,99,101,100,100
Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,4,4,5,5,6,6,6
Burlington,0,1,1,1,1,1,3,4,4,4,5,5,5,6,6,6,6,6,7,9,11,12,12,13,14,14,14,15,15,15
Canaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Canton,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,5,6,7,7,8,10,12,13,22,22,24,25,25
Chaplin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire,0,0,0,0,0,3,6,8,9,13,18,20,20,26,27,27,30,33,36,39,42,47,49,54,55,58,64,67,70,74
Chester,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,8,9,9,12,17,19,21,19,20,22,28,28,28,28,31
