date,observed,upper_thresh,avg_expected
2017-01-07,656,678,625
2017-01-14,662,680,627
2017-01-21,694,682,632
2017-01-28,654,681,632
2017-02-04,665,679,630
2017-02-11,733,677,626
2017-02-18,677,676,623
2017-02-25,678,672,621
2017-03-04,614,673,620
2017-03-11,641,669,617
2017-03-18,596,667,614
2017-03-25,628,663,612
2017-04-01,643,661,609
2017-04-08,657,656,605
2017-04-15,632,651,601
2017-04-22,602,641,592
2017-04-29,617,642,589
2017-05-06,541,639,588
2017-05-13,561,636,584
2017-05-20,559,629,579
2017-05-27,580,631,579
2017-06-03,589,624,573
2017-06-10,575,622,572
2017-06-17,582,616,570
2017-06-24,606,613,564
2017-07-01,568,609,561
2017-07-08,550,608,559
2017-07-15,552,603,558
2017-07-22,571,607,559
2017-07-29,555,603,555
2017-08-05,582,600,552
2017-08-12,531,602,556
2017-08-19,528,607,560
2017-08-26,540,606,559
2017-09-02,536,604,558
2017-09-09,567,612,565
2017-09-16,601,618,568
2017-09-23,563,625,576
2017-09-30,545,635,583
2017-10-07,599,638,587
2017-10-14,608,646,593
2017-10-21,565,645,595
2017-10-28,542,648,598
2017-11-04,598,656,606
2017-11-11,595,662,611
2017-11-18,647,665,615
2017-11-25,590,668,618
2017-12-02,626,682,631
2017-12-09,677,688,635
2017-12-16,644,697,643
2017-12-23,670,705,651
2017-12-30,662,711,656
2018-01-06,692,718,663
2018-01-13,793,721,665
2018-01-20,685,727,674
2018-01-27,672,726,676
2018-02-03,656,730,678
2018-02-10,671,729,675
2018-02-17,639,727,673
2018-02-24,632,722,670
2018-03-03,630,718,665
2018-03-10,617,713,659
2018-03-17,613,702,648
2018-03-24,609,693,641
2018-03-31,626,688,634
2018-04-07,658,680,625
2018-04-14,660,671,616
2018-04-21,581,653,602
2018-04-28,654,647,594
2018-05-05,591,640,587
2018-05-12,593,632,578
2018-05-19,546,631,578
2018-05-26,573,628,574
2018-06-02,534,621,568
2018-06-09,573,619,567
2018-06-16,543,609,560
2018-06-23,544,606,556
2018-06-30,546,601,551
2018-07-07,610,600,550
2018-07-14,573,596,548
2018-07-21,574,597,546
2018-07-28,536,595,544
2018-08-04,591,590,541
2018-08-11,555,592,542
2018-08-18,539,594,543
2018-08-25,552,593,542
2018-09-01,559,595,545
2018-09-08,574,600,550
2018-09-15,567,606,555
2018-09-22,573,609,556
2018-09-29,585,616,562
2018-10-06,577,622,568
2018-10-13,563,628,571
2018-10-20,613,630,576
2018-10-27,614,631,576
2018-11-03,608,638,584
2018-11-10,576,645,590
2018-11-17,595,644,590
2018-11-24,614,648,597
2018-12-01,617,658,605
2018-12-08,604,664,610
2018-12-15,638,671,614
2018-12-22,644,683,626
2018-12-29,588,690,631
2019-01-05,631,697,637
2019-01-12,628,699,639
2019-01-19,627,706,646
2019-01-26,734,707,651
2019-02-02,657,713,656
2019-02-09,689,713,655
2019-02-16,670,718,662
2019-02-23,681,719,664
2019-03-02,653,719,662
2019-03-09,644,719,664
2019-03-16,677,715,659
2019-03-23,682,709,655
2019-03-30,629,708,653
2019-04-06,636,704,649
2019-04-13,656,698,641
2019-04-20,598,683,629
2019-04-27,609,678,623
2019-05-04,613,675,621
2019-05-11,578,670,614
2019-05-18,574,663,608
2019-05-25,586,656,601
2019-06-01,558,645,593
2019-06-08,666,640,589
2019-06-15,537,633,583
2019-06-22,538,631,580
2019-06-29,591,626,575
2019-07-06,589,620,572
2019-07-13,591,621,572
2019-07-20,560,619,568
2019-07-27,588,616,565
2019-08-03,560,610,560
2019-08-10,596,611,562
2019-08-17,557,613,564
2019-08-24,565,615,564
2019-08-31,591,613,564
2019-09-07,562,619,569
2019-09-14,551,627,575
2019-09-21,596,633,579
2019-09-28,563,639,586
2019-10-05,579,644,590
2019-10-12,576,654,598
2019-10-19,603,659,604
2019-10-26,555,662,607
2019-11-02,611,667,614
2019-11-09,602,674,619
2019-11-16,639,676,623
2019-11-23,643,678,625
2019-11-30,657,688,634
2019-12-07,625,693,639
2019-12-14,642,698,643
2019-12-21,647,702,648
2019-12-28,625,705,650
2020-01-04,633,711,656
2020-01-11,631,714,658
2020-01-18,639,716,660
2020-01-25,653,723,667
2020-02-01,686,727,671
2020-02-08,652,722,667
2020-02-15,635,733,677
2020-02-22,653,735,679
2020-02-29,638,736,679
2020-03-07,625,740,683
2020-03-14,632,728,675
2020-03-21,665,725,670
2020-03-28,751,717,661
2020-04-04,891,718,661
2020-04-11,1260,708,650
2020-04-18,1389,701,643
2020-04-25,1338,691,633
2020-05-02,1165,685,627
2020-05-09,1052,679,622
2020-05-16,954,673,616
2020-05-23,823,666,610
2020-05-30,759,658,603
2020-06-06,669,653,601
2020-06-13,636,645,595
2020-06-20,581,639,588
2020-06-27,598,640,588
2020-07-04,553,635,582
2020-07-11,611,636,585
2020-07-18,569,632,581
2020-07-25,586,629,577
2020-08-01,555,626,573
2020-08-08,593,625,574
2020-08-15,574,621,572
2020-08-22,571,619,570
2020-08-29,532,625,572
2020-09-05,574,626,573
2020-09-12,571,628,576
2020-09-19,579,632,580
2020-09-26,644,638,584
2020-10-03,623,645,590
2020-10-10,637,654,599
2020-10-17,619,661,605
2020-10-24,683,665,610
2020-10-31,639,669,615
2020-11-07,727,676,620
2020-11-14,685,682,628
2020-11-21,759,688,636
2020-11-28,757,696,641
2020-12-05,844,700,645
2020-12-12,846,712,655
2020-12-19,871,719,664
2020-12-26,920,726,669
2021-01-02,915,734,675
2021-01-09,853,735,676
2021-01-16,865,735,678
2021-01-23,856,735,680
2021-01-30,822,735,681
2021-02-06,777,734,678
2021-02-13,728,731,679
2021-02-20,681,732,678
2021-02-27,673,732,677
2021-03-06,642,732,676
2021-03-13,645,721,669
2021-03-20,641,718,667
2021-03-27,661,711,658
2021-04-03,611,706,652
2021-04-10,577,700,645
2021-04-17,606,695,641
2021-04-24,604,691,636
2021-05-01,627,685,631
2021-05-08,624,682,628
2021-05-15,566,678,624
2021-05-22,592,673,620
2021-05-29,620,666,613
2021-06-05,554,659,610
2021-06-12,582,650,603
2021-06-19,573,648,600
2021-06-26,590,647,599
2021-07-03,601,643,594
2021-07-10,611,641,592
2021-07-17,581,638,590
2021-07-24,614,636,587
2021-07-31,571,635,585
2021-08-07,610,636,586
2021-08-14,646,633,585
2021-08-21,631,633,585
2021-08-28,625,637,587
2021-09-04,626,638,587
2021-09-11,643,642,592
2021-09-18,682,650,599
2021-09-25,671,652,600
2021-10-02,630,657,605
2021-10-09,620,666,612
2021-10-16,628,676,622
2021-10-23,674,679,626
2021-10-30,654,684,630
2021-11-06,677,689,636
2021-11-13,680,701,646
2021-11-20,672,699,649
2021-11-27,702,707,653
2021-12-04,760,711,659
2021-12-11,744,722,667
2021-12-18,711,721,669
2021-12-25,751,731,677
2022-01-01,817,737,683
2022-01-08,947,737,684
2022-01-15,949,743,689
2022-01-22,1064,741,688
2022-01-29,946,741,688
2022-02-05,1002,738,685
2022-02-12,937,734,685
2022-02-19,843,732,682
2022-02-26,781,731,681
2022-03-05,804,730,680
2022-03-12,728,718,670
2022-03-19,743,715,667
2022-03-26,700,709,659
2022-04-02,757,700,650
2022-04-09,793,691,640
