name,date,cases
Andover,2020-03-21,0
Ansonia,2020-03-21,0
Ashford,2020-03-21,0
Avon,2020-03-21,0
Barkhamsted,2020-03-21,0
Beacon Falls,2020-03-21,1
Berlin,2020-03-21,1
Bethany,2020-03-21,0
Bethel,2020-03-21,0
Bethlehem,2020-03-21,3
Bloomfield,2020-03-21,0
Bolton,2020-03-21,1
Bozrah,2020-03-21,0
Branford,2020-03-21,0
Bridgeport,2020-03-21,8
Bridgewater,2020-03-21,0
Bristol,2020-03-21,0
Brookfield,2020-03-21,3
Brooklyn,2020-03-21,0
Burlington,2020-03-21,0
Canaan,2020-03-21,0
Canterbury,2020-03-21,0
Canton,2020-03-21,0
Chaplin,2020-03-21,0
Cheshire,2020-03-21,0
Chester,2020-03-21,0
Clinton,2020-03-21,1
Colchester,2020-03-21,0
Colebrook,2020-03-21,0
Columbia,2020-03-21,0
Cornwall,2020-03-21,0
Coventry,2020-03-21,0
Cromwell,2020-03-21,0
Danbury,2020-03-21,4
Darien,2020-03-21,6
Deep River,2020-03-21,0
Derby,2020-03-21,0
Durham,2020-03-21,0
East Granby,2020-03-21,0
East Haddam,2020-03-21,0
East Hampton,2020-03-21,1
East Hartford,2020-03-21,1
East Haven,2020-03-21,0
East Lyme,2020-03-21,1
East Windsor,2020-03-21,0
Eastford,2020-03-21,0
Easton,2020-03-21,0
Ellington,2020-03-21,0
Enfield,2020-03-21,1
Essex,2020-03-21,0
Fairfield,2020-03-21,4
Farmington,2020-03-21,1
Franklin,2020-03-21,0
Glastonbury,2020-03-21,1
Goshen,2020-03-21,0
Granby,2020-03-21,0
Greenwich,2020-03-21,23
Griswold,2020-03-21,0
Groton,2020-03-21,0
Guilford,2020-03-21,2
Haddam,2020-03-21,1
Hamden,2020-03-21,0
Hampton,2020-03-21,0
Hartford,2020-03-21,8
Hartland,2020-03-21,0
Harwinton,2020-03-21,0
Hebron,2020-03-21,0
Kent,2020-03-21,0
Killingly,2020-03-21,0
Killingworth,2020-03-21,1
Lebanon,2020-03-21,0
Ledyard,2020-03-21,0
Lisbon,2020-03-21,0
Litchfield,2020-03-21,2
Lyme,2020-03-21,0
Madison,2020-03-21,1
Manchester,2020-03-21,1
Mansfield,2020-03-21,0
Marlborough,2020-03-21,0
Meriden,2020-03-21,1
Middlebury,2020-03-21,0
Middlefield,2020-03-21,0
Middletown,2020-03-21,1
Milford,2020-03-21,2
Monroe,2020-03-21,0
Montville,2020-03-21,0
Morris,2020-03-21,0
Naugatuck,2020-03-21,0
New Britain,2020-03-21,1
New Canaan,2020-03-21,5
New Fairfield,2020-03-21,1
New Hartford,2020-03-21,0
New Haven,2020-03-21,6
New London,2020-03-21,0
New Milford,2020-03-21,2
Newington,2020-03-21,3
Newtown,2020-03-21,0
