town,pop,first_doses,date
Andover,3236,2314,2021-12-01T00:00:00Z
Ansonia,18654,12039,2021-12-01T00:00:00Z
Ashford,4255,2886,2021-12-01T00:00:00Z
Avon,18276,16327,2021-12-01T00:00:00Z
Barkhamsted,3606,2668,2021-12-01T00:00:00Z
Beacon Falls,6222,4280,2021-12-01T00:00:00Z
Berlin,20436,15180,2021-12-01T00:00:00Z
Bethany,5548,4221,2021-12-01T00:00:00Z
Bethel,19800,14411,2021-12-01T00:00:00Z
Bethlehem,3402,2318,2021-12-01T00:00:00Z
Bloomfield,21211,16679,2021-12-01T00:00:00Z
Bolton,4884,3672,2021-12-01T00:00:00Z
Bozrah,2726,1740,2021-12-01T00:00:00Z
Branford,27900,22210,2021-12-01T00:00:00Z
Bridgeport,144399,92257,2021-12-01T00:00:00Z
Bridgewater,1635,1336,2021-12-01T00:00:00Z
Bristol,59947,42895,2021-12-01T00:00:00Z
Brookfield,16973,13280,2021-12-01T00:00:00Z
Brooklyn,8272,5246,2021-12-01T00:00:00Z
Burlington,9704,7342,2021-12-01T00:00:00Z
Canaan,1053,1235,2021-12-01T00:00:00Z
Canterbury,5079,3256,2021-12-01T00:00:00Z
Canton,10254,8007,2021-12-01T00:00:00Z
Chaplin,2239,1427,2021-12-01T00:00:00Z
Cheshire,28937,23661,2021-12-01T00:00:00Z
Chester,4213,3167,2021-12-01T00:00:00Z
Clinton,12925,10671,2021-12-01T00:00:00Z
Colchester,15809,11914,2021-12-01T00:00:00Z
Colebrook,1400,1070,2021-12-01T00:00:00Z
Columbia,5379,3903,2021-12-01T00:00:00Z
Cornwall,1362,1202,2021-12-01T00:00:00Z
Coventry,12407,9056,2021-12-01T00:00:00Z
Cromwell,13839,11593,2021-12-01T00:00:00Z
Danbury,84694,64678,2021-12-01T00:00:00Z
Darien,21728,19034,2021-12-01T00:00:00Z
Deep River,4443,3586,2021-12-01T00:00:00Z
Derby,12339,11182,2021-12-01T00:00:00Z
Durham,7165,5583,2021-12-01T00:00:00Z
East Granby,5140,3986,2021-12-01T00:00:00Z
East Haddam,8997,6405,2021-12-01T00:00:00Z
East Hampton,12800,9432,2021-12-01T00:00:00Z
East Hartford,49872,36403,2021-12-01T00:00:00Z
East Haven,28569,19239,2021-12-01T00:00:00Z
East Lyme,18462,15398,2021-12-01T00:00:00Z
East Windsor,11668,7846,2021-12-01T00:00:00Z
Eastford,1790,1118,2021-12-01T00:00:00Z
Easton,7521,5935,2021-12-01T00:00:00Z
Ellington,16467,11970,2021-12-01T00:00:00Z
Enfield,43659,27812,2021-12-01T00:00:00Z
Essex,6668,5676,2021-12-01T00:00:00Z
Fairfield,62045,47944,2021-12-01T00:00:00Z
Farmington,25497,22258,2021-12-01T00:00:00Z
Franklin,1920,1338,2021-12-01T00:00:00Z
Glastonbury,34482,29454,2021-12-01T00:00:00Z
Goshen,2863,2170,2021-12-01T00:00:00Z
Granby,11507,8577,2021-12-01T00:00:00Z
Greenwich,62840,49682,2021-12-01T00:00:00Z
Griswold,11534,7005,2021-12-01T00:00:00Z
Groton,38436,25075,2021-12-01T00:00:00Z
Guilford,22133,18965,2021-12-01T00:00:00Z
Haddam,8193,6547,2021-12-01T00:00:00Z
Hamden,60556,43285,2021-12-01T00:00:00Z
Hampton,1842,1188,2021-12-01T00:00:00Z
Hartford,122105,71126,2021-12-01T00:00:00Z
Hartland,2120,1308,2021-12-01T00:00:00Z
Harwinton,5420,3916,2021-12-01T00:00:00Z
Hebron,9504,7186,2021-12-01T00:00:00Z
Kent,2777,2511,2021-12-01T00:00:00Z
Killingly,17336,10286,2021-12-01T00:00:00Z
Killingworth,6364,4935,2021-12-01T00:00:00Z
Lebanon,7144,5081,2021-12-01T00:00:00Z
Ledyard,14621,10777,2021-12-01T00:00:00Z
Lisbon,4220,2877,2021-12-01T00:00:00Z
Litchfield,8094,6301,2021-12-01T00:00:00Z
Lyme,2316,2123,2021-12-01T00:00:00Z
Madison,18030,15592,2021-12-01T00:00:00Z
Manchester,57584,41753,2021-12-01T00:00:00Z
Mansfield,25487,11012,2021-12-01T00:00:00Z
Marlborough,6335,4896,2021-12-01T00:00:00Z
Meriden,59395,42348,2021-12-01T00:00:00Z
Middlebury,7798,6103,2021-12-01T00:00:00Z
Middlefield,4374,3289,2021-12-01T00:00:00Z
Middletown,46258,35827,2021-12-01T00:00:00Z
Milford,54747,40769,2021-12-01T00:00:00Z
Monroe,19434,14984,2021-12-01T00:00:00Z
Montville,18508,12468,2021-12-01T00:00:00Z
Morris,2254,1611,2021-12-01T00:00:00Z
Naugatuck,31108,21187,2021-12-01T00:00:00Z
New Britain,72495,43352,2021-12-01T00:00:00Z
New Canaan,20233,18023,2021-12-01T00:00:00Z
New Fairfield,13878,10137,2021-12-01T00:00:00Z
New Hartford,6656,4870,2021-12-01T00:00:00Z
New Haven,130250,86983,2021-12-01T00:00:00Z
New London,26858,17695,2021-12-01T00:00:00Z
New Milford,26805,20820,2021-12-01T00:00:00Z
Newington,30014,23383,2021-12-01T00:00:00Z
Newtown,27891,21800,2021-12-01T00:00:00Z
Norfolk,1630,1173,2021-12-01T00:00:00Z
North Branford,14146,11209,2021-12-01T00:00:00Z
North Canaan,3251,1996,2021-12-01T00:00:00Z
North Haven,23683,20570,2021-12-01T00:00:00Z
North Stonington,5196,3337,2021-12-01T00:00:00Z
Norwalk,88816,70649,2021-12-01T00:00:00Z
Norwich,38768,25739,2021-12-01T00:00:00Z
Old Lyme,7306,6224,2021-12-01T00:00:00Z
Old Saybrook,10061,9112,2021-12-01T00:00:00Z
Orange,13926,11481,2021-12-01T00:00:00Z
Oxford,13255,9569,2021-12-01T00:00:00Z
Plainfield,15125,8947,2021-12-01T00:00:00Z
Plainville,17534,12435,2021-12-01T00:00:00Z
Plymouth,11598,7239,2021-12-01T00:00:00Z
Pomfret,4203,3013,2021-12-01T00:00:00Z
Portland,9267,7352,2021-12-01T00:00:00Z
Preston,4625,3227,2021-12-01T00:00:00Z
Prospect,9702,6939,2021-12-01T00:00:00Z
Putnam,9389,5724,2021-12-01T00:00:00Z
Redding,9116,6934,2021-12-01T00:00:00Z
Ridgefield,24959,20477,2021-12-01T00:00:00Z
Rocky Hill,20115,16126,2021-12-01T00:00:00Z
Roxbury,2152,1817,2021-12-01T00:00:00Z
Salem,4083,3100,2021-12-01T00:00:00Z
Salisbury,3600,3586,2021-12-01T00:00:00Z
Scotland,1672,998,2021-12-01T00:00:00Z
Seymour,16437,11666,2021-12-01T00:00:00Z
Sharon,2689,1907,2021-12-01T00:00:00Z
Shelton,41129,30833,2021-12-01T00:00:00Z
Sherman,3630,2506,2021-12-01T00:00:00Z
Simsbury,25395,20994,2021-12-01T00:00:00Z
Somers,10784,7013,2021-12-01T00:00:00Z
South Windsor,26162,21660,2021-12-01T00:00:00Z
Southbury,19571,15493,2021-12-01T00:00:00Z
Southington,43834,33574,2021-12-01T00:00:00Z
Sprague,2859,1764,2021-12-01T00:00:00Z
Stafford,11893,7070,2021-12-01T00:00:00Z
Stamford,129638,106910,2021-12-01T00:00:00Z
Sterling,3782,1939,2021-12-01T00:00:00Z
Stonington,18559,14190,2021-12-01T00:00:00Z
Stratford,51849,37515,2021-12-01T00:00:00Z
Suffield,15814,11102,2021-12-01T00:00:00Z
Thomaston,7535,5294,2021-12-01T00:00:00Z
Thompson,9379,4796,2021-12-01T00:00:00Z
Tolland,14618,11356,2021-12-01T00:00:00Z
Torrington,34044,24327,2021-12-01T00:00:00Z
Trumbull,35673,29479,2021-12-01T00:00:00Z
Union,839,530,2021-12-01T00:00:00Z
Vernon,29359,21927,2021-12-01T00:00:00Z
Voluntown,2510,1642,2021-12-01T00:00:00Z
Wallingford,44326,34754,2021-12-01T00:00:00Z
Warren,1395,1031,2021-12-01T00:00:00Z
Washington,3428,2986,2021-12-01T00:00:00Z
Waterbury,107568,67847,2021-12-01T00:00:00Z
Waterford,18746,15297,2021-12-01T00:00:00Z
Watertown,21578,16093,2021-12-01T00:00:00Z
West Hartford,62965,55075,2021-12-01T00:00:00Z
West Haven,54620,37892,2021-12-01T00:00:00Z
Westbrook,6869,5602,2021-12-01T00:00:00Z
Weston,10252,8828,2021-12-01T00:00:00Z
Westport,28491,24208,2021-12-01T00:00:00Z
Wethersfield,26008,21623,2021-12-01T00:00:00Z
Willington,5864,3782,2021-12-01T00:00:00Z
Wilton,18343,15802,2021-12-01T00:00:00Z
Winchester,10604,6834,2021-12-01T00:00:00Z
Windham,24561,14899,2021-12-01T00:00:00Z
Windsor,28733,22505,2021-12-01T00:00:00Z
Windsor Locks,12854,8979,2021-12-01T00:00:00Z
Wolcott,16587,11660,2021-12-01T00:00:00Z
Woodbridge,8750,7626,2021-12-01T00:00:00Z
Woodbury,9502,7177,2021-12-01T00:00:00Z
Woodstock,7858,5343,2021-12-01T00:00:00Z
Andover,3236,2337,2021-12-08T00:00:00Z
Ansonia,18654,12167,2021-12-08T00:00:00Z
Ashford,4255,2899,2021-12-08T00:00:00Z
Avon,18276,16477,2021-12-08T00:00:00Z
Barkhamsted,3606,2694,2021-12-08T00:00:00Z
Beacon Falls,6222,4325,2021-12-08T00:00:00Z
Berlin,20436,15315,2021-12-08T00:00:00Z
Bethany,5548,4264,2021-12-08T00:00:00Z
Bethel,19800,14530,2021-12-08T00:00:00Z
Bethlehem,3402,2336,2021-12-08T00:00:00Z
Bloomfield,21211,16812,2021-12-08T00:00:00Z
Bolton,4884,3681,2021-12-08T00:00:00Z
Bozrah,2726,1748,2021-12-08T00:00:00Z
Branford,27900,22362,2021-12-08T00:00:00Z
Bridgeport,144399,93248,2021-12-08T00:00:00Z
Bridgewater,1635,1341,2021-12-08T00:00:00Z
Bristol,59947,43151,2021-12-08T00:00:00Z
Brookfield,16973,13391,2021-12-08T00:00:00Z
Brooklyn,8272,5314,2021-12-08T00:00:00Z
Burlington,9704,7411,2021-12-08T00:00:00Z
Canaan,1053,1257,2021-12-08T00:00:00Z
Canterbury,5079,3285,2021-12-08T00:00:00Z
Canton,10254,8065,2021-12-08T00:00:00Z
Chaplin,2239,1445,2021-12-08T00:00:00Z
Cheshire,28937,23812,2021-12-08T00:00:00Z
Chester,4213,3199,2021-12-08T00:00:00Z
Clinton,12925,10741,2021-12-08T00:00:00Z
Colchester,15809,12016,2021-12-08T00:00:00Z
Colebrook,1400,1079,2021-12-08T00:00:00Z
Columbia,5379,3941,2021-12-08T00:00:00Z
Cornwall,1362,1208,2021-12-08T00:00:00Z
Coventry,12407,9132,2021-12-08T00:00:00Z
Cromwell,13839,11694,2021-12-08T00:00:00Z
Danbury,84694,65302,2021-12-08T00:00:00Z
Darien,21728,19190,2021-12-08T00:00:00Z
Deep River,4443,3629,2021-12-08T00:00:00Z
Derby,12339,11428,2021-12-08T00:00:00Z
Durham,7165,5616,2021-12-08T00:00:00Z
East Granby,5140,3997,2021-12-08T00:00:00Z
East Haddam,8997,6453,2021-12-08T00:00:00Z
East Hampton,12800,9556,2021-12-08T00:00:00Z
East Hartford,49872,36715,2021-12-08T00:00:00Z
East Haven,28569,19349,2021-12-08T00:00:00Z
East Lyme,18462,15534,2021-12-08T00:00:00Z
East Windsor,11668,7942,2021-12-08T00:00:00Z
Eastford,1790,1114,2021-12-08T00:00:00Z
Easton,7521,5955,2021-12-08T00:00:00Z
Ellington,16467,12088,2021-12-08T00:00:00Z
Enfield,43659,28058,2021-12-08T00:00:00Z
Essex,6668,5719,2021-12-08T00:00:00Z
Fairfield,62045,48437,2021-12-08T00:00:00Z
Farmington,25497,22479,2021-12-08T00:00:00Z
Franklin,1920,1341,2021-12-08T00:00:00Z
Glastonbury,34482,29713,2021-12-08T00:00:00Z
Goshen,2863,2178,2021-12-08T00:00:00Z
Granby,11507,8624,2021-12-08T00:00:00Z
Greenwich,62840,50127,2021-12-08T00:00:00Z
Griswold,11534,7073,2021-12-08T00:00:00Z
Groton,38436,25311,2021-12-08T00:00:00Z
Guilford,22133,19086,2021-12-08T00:00:00Z
Haddam,8193,6567,2021-12-08T00:00:00Z
Hamden,60556,43612,2021-12-08T00:00:00Z
Hampton,1842,1195,2021-12-08T00:00:00Z
Hartford,122105,71824,2021-12-08T00:00:00Z
Hartland,2120,1325,2021-12-08T00:00:00Z
Harwinton,5420,3947,2021-12-08T00:00:00Z
Hebron,9504,7252,2021-12-08T00:00:00Z
Kent,2777,2524,2021-12-08T00:00:00Z
Killingly,17336,10375,2021-12-08T00:00:00Z
Killingworth,6364,4983,2021-12-08T00:00:00Z
Lebanon,7144,5119,2021-12-08T00:00:00Z
Ledyard,14621,10894,2021-12-08T00:00:00Z
Lisbon,4220,2907,2021-12-08T00:00:00Z
Litchfield,8094,6340,2021-12-08T00:00:00Z
Lyme,2316,2132,2021-12-08T00:00:00Z
Madison,18030,15695,2021-12-08T00:00:00Z
Manchester,57584,42170,2021-12-08T00:00:00Z
Mansfield,25487,11125,2021-12-08T00:00:00Z
Marlborough,6335,4912,2021-12-08T00:00:00Z
Meriden,59395,42573,2021-12-08T00:00:00Z
Middlebury,7798,6142,2021-12-08T00:00:00Z
Middlefield,4374,3316,2021-12-08T00:00:00Z
Middletown,46258,36047,2021-12-08T00:00:00Z
Milford,54747,41160,2021-12-08T00:00:00Z
Monroe,19434,15114,2021-12-08T00:00:00Z
Montville,18508,12530,2021-12-08T00:00:00Z
Morris,2254,1629,2021-12-08T00:00:00Z
Naugatuck,31108,21352,2021-12-08T00:00:00Z
New Britain,72495,43735,2021-12-08T00:00:00Z
New Canaan,20233,18328,2021-12-08T00:00:00Z
New Fairfield,13878,10226,2021-12-08T00:00:00Z
New Hartford,6656,4923,2021-12-08T00:00:00Z
New Haven,130250,87914,2021-12-08T00:00:00Z
New London,26858,17886,2021-12-08T00:00:00Z
New Milford,26805,21001,2021-12-08T00:00:00Z
Newington,30014,23656,2021-12-08T00:00:00Z
Newtown,27891,21906,2021-12-08T00:00:00Z
Norfolk,1630,1179,2021-12-08T00:00:00Z
North Branford,14146,11305,2021-12-08T00:00:00Z
