current_food,share,dimension,group,date_range
insecure,0.096,total,CT,2020-04-23_2020-07-21
insecure,0.13,age_range,ages18_34,2020-04-23_2020-07-21
insecure,0.11,age_range,ages35_64,2020-04-23_2020-07-21
insecure,0.026,age_range,ages65plus,2020-04-23_2020-07-21
insecure,0.062,race,white,2020-04-23_2020-07-21
insecure,0.18,race,black,2020-04-23_2020-07-21
insecure,0.18,race,latino,2020-04-23_2020-07-21
insecure,0.083,race,asian,2020-04-23_2020-07-21
insecure,0.13,kids_present,kids_in_house,2020-04-23_2020-07-21
insecure,0.077,kids_present,no_kids,2020-04-23_2020-07-21
