housing_conf,share,dimension,group,date_range
not_confident,0.3,total,CT,2020-04-23_2020-07-21
not_confident,0.33,age_range,ages18_34,2020-04-23_2020-07-21
not_confident,0.34,age_range,ages35_64,2020-04-23_2020-07-21
not_confident,0.1,age_range,ages65plus,2020-04-23_2020-07-21
not_confident,0.2,race,white,2020-04-23_2020-07-21
not_confident,0.36,race,black,2020-04-23_2020-07-21
not_confident,0.44,race,latino,2020-04-23_2020-07-21
not_confident,0.14,race,asian,2020-04-23_2020-07-21
not_confident,0.39,kids_present,kids_in_house,2020-04-23_2020-07-21
not_confident,0.24,kids_present,no_kids,2020-04-23_2020-07-21
