geoid,name,race,estimate,moe
09,Connecticut,Asian,157406,1395
09,Connecticut,Black,351817,1870
09,Connecticut,Latino,561791,NA
09,Connecticut,Other,91794,2853.08
09,Connecticut,Total,3581504,NA
09,Connecticut,White,2418696,1034
09001,Fairfield County,Asian,49375,830
09001,Fairfield County,Black,99412,934
09001,Fairfield County,Latino,182653,NA
09001,Fairfield County,Other,23934,1490.3
09001,Fairfield County,Total,944348,NA
09001,Fairfield County,White,588974,691
0900104720,Bethel,Asian,1320,377
0900104720,Bethel,Black,447,340
0900104720,Bethel,Latino,1435,310
0900104720,Bethel,Other,245,112.83
0900104720,Bethel,Total,19551,32
0900104720,Bethel,White,16104,618
0900108070,Bridgeport,Asian,5025,905
0900108070,Bridgeport,Black,48114,1746
0900108070,Bridgeport,Latino,58534,1717
0900108070,Bridgeport,Other,5014,825.11
0900108070,Bridgeport,Total,146417,64
0900108070,Bridgeport,White,29730,1420
0900108980,Brookfield,Asian,892,325
0900108980,Brookfield,Black,211,135
0900108980,Brookfield,Latino,1048,354
0900108980,Brookfield,Other,282,171.61
0900108980,Brookfield,Total,17013,42
0900108980,Brookfield,White,14580,501
0900118500,Danbury,Asian,5070,640
0900118500,Danbury,Black,6880,1241
0900118500,Danbury,Latino,25518,1349
0900118500,Danbury,Other,4443,860.87
0900118500,Danbury,Total,84479,39
0900118500,Danbury,White,42568,1549
0900118850,Darien,Asian,1114,294
0900118850,Darien,Black,181,112
0900118850,Darien,Latino,791,266
0900118850,Darien,Other,332,148.77
0900118850,Darien,Total,21759,45
0900118850,Darien,White,19341,378
0900123890,Easton,Asian,220,121
0900123890,Easton,Black,2,4
0900123890,Easton,Latino,363,208
0900123890,Easton,Other,56,66.84
0900123890,Easton,Total,7558,31
0900123890,Easton,White,6917,243
0900126620,Fairfield,Asian,2734,478
0900126620,Fairfield,Black,1104,284
0900126620,Fairfield,Latino,3595,519
0900126620,Fairfield,Other,1539,322.65
0900126620,Fairfield,Total,61598,37
0900126620,Fairfield,White,52626,862
0900133620,Greenwich,Asian,4777,558
0900133620,Greenwich,Black,2076,540
0900133620,Greenwich,Latino,8640,839
0900133620,Greenwich,Other,1547,331.99
0900133620,Greenwich,Total,62574,41
0900133620,Greenwich,White,45534,1119
0900148620,Monroe,Asian,1059,482
0900148620,Monroe,Black,263,215
0900148620,Monroe,Latino,959,360
0900148620,Monroe,Other,466,324.73
0900148620,Monroe,Total,19621,33
0900148620,Monroe,White,16874,686
0900150580,New Canaan,Asian,898,276
0900150580,New Canaan,Black,288,164
0900150580,New Canaan,Latino,1072,361
0900150580,New Canaan,Other,379,162.47
0900150580,New Canaan,Total,20273,22
0900150580,New Canaan,White,17636,466
0900150860,New Fairfield,Asian,114,61
0900150860,New Fairfield,Black,110,69
0900150860,New Fairfield,Latino,1004,323
0900150860,New Fairfield,Other,281,184.03
0900150860,New Fairfield,Total,13992,35
0900150860,New Fairfield,White,12483,333
0900152980,Newtown,Asian,484,228
0900152980,Newtown,Black,378,214
0900152980,Newtown,Latino,1924,712
0900152980,Newtown,Other,290,126.86
0900152980,Newtown,Total,27853,26
0900152980,Newtown,White,24777,796
0900156060,Norwalk,Asian,4433,616
0900156060,Norwalk,Black,11896,1230
0900156060,Norwalk,Latino,24711,1506
0900156060,Norwalk,Other,1643,381.08
0900156060,Norwalk,Total,88436,62
0900156060,Norwalk,White,45753,1455
0900163480,Redding,Asian,114,73
0900163480,Redding,Black,79,91
0900163480,Redding,Latino,367,228
0900163480,Redding,Other,178,134.27
0900163480,Redding,Total,9209,20
0900163480,Redding,White,8471,290
0900163970,Ridgefield,Asian,844,291
0900163970,Ridgefield,Black,244,144
0900163970,Ridgefield,Latino,1207,361
0900163970,Ridgefield,Other,492,233.78
0900163970,Ridgefield,Total,25070,32
0900163970,Ridgefield,White,22283,548
0900168170,Shelton,Asian,1735,326
0900168170,Shelton,Black,643,332
0900168170,Shelton,Latino,3350,574
0900168170,Shelton,Other,431,183.86
0900168170,Shelton,Total,41155,38
0900168170,Shelton,White,34996,785
0900168310,Sherman,Asian,122,105
0900168310,Sherman,Black,0,12
0900168310,Sherman,Latino,106,59
0900168310,Sherman,Other,95,91.81
0900168310,Sherman,Total,3641,21
0900168310,Sherman,White,3318,171
0900173070,Stamford,Asian,11124,1044
0900173070,Stamford,Black,16266,1044
0900173070,Stamford,Latino,33664,1618
0900173070,Stamford,Other,2809,595.22
0900173070,Stamford,Total,129026,43
0900173070,Stamford,White,65163,1766
0900174190,Stratford,Asian,1356,529
0900174190,Stratford,Black,8280,622
0900174190,Stratford,Latino,8621,708
0900174190,Stratford,Other,1031,327.67
0900174190,Stratford,Total,52279,42
0900174190,Stratford,White,32991,872
0900177200,Trumbull,Asian,2193,509
0900177200,Trumbull,Black,1497,433
0900177200,Trumbull,Latino,3259,605
0900177200,Trumbull,Other,725,281
0900177200,Trumbull,Total,36174,31
0900177200,Trumbull,White,28500,872
0900183430,Weston,Asian,320,94
0900183430,Weston,Black,139,113
0900183430,Weston,Latino,654,223
0900183430,Weston,Other,495,200.45
0900183430,Weston,Total,10288,44
0900183430,Weston,White,8680,342
0900183500,Westport,Asian,1833,361
0900183500,Westport,Black,127,98
0900183500,Westport,Latino,1181,426
0900183500,Westport,Other,711,256.03
0900183500,Westport,Total,27840,28
0900183500,Westport,White,23988,548
0900186370,Wilton,Asian,1594,285
0900186370,Wilton,Black,187,99
0900186370,Wilton,Latino,650,289
0900186370,Wilton,Other,450,143.31
0900186370,Wilton,Total,18542,25
0900186370,Wilton,White,15661,438
09003,Hartford County,Asian,46327,655
09003,Hartford County,Black,114565,851
09003,Hartford County,Latino,157785,NA
09003,Hartford County,Other,22628,1273.47
09003,Hartford County,Total,894730,NA
09003,Hartford County,White,553425,408
0900302060,Avon,Asian,2284,381
0900302060,Avon,Black,140,119
0900302060,Avon,Latino,847,338
0900302060,Avon,Other,340,157.7
0900302060,Avon,Total,18338,27
0900302060,Avon,White,14727,457
0900304300,Berlin,Asian,415,165
0900304300,Berlin,Black,221,205
0900304300,Berlin,Latino,975,288
0900304300,Berlin,Other,281,215.19
0900304300,Berlin,Total,20519,22
0900304300,Berlin,White,18627,473
0900305910,Bloomfield,Asian,553,307
0900305910,Bloomfield,Black,11936,597
0900305910,Bloomfield,Latino,1628,539
0900305910,Bloomfield,Other,612,241.36
0900305910,Bloomfield,Total,20952,37
0900305910,Bloomfield,White,6223,536
0900308490,Bristol,Asian,1163,456
0900308490,Bristol,Black,2806,817
0900308490,Bristol,Latino,9945,1055
0900308490,Bristol,Other,1574,393.82
0900308490,Bristol,Total,60308,42
0900308490,Bristol,White,44820,1293
0900310100,Burlington,Asian,128,89
0900310100,Burlington,Black,73,95
0900310100,Burlington,Latino,268,157
0900310100,Burlington,Other,115,91.85
0900310100,Burlington,Total,9607,22
0900310100,Burlington,White,9023,236
0900312270,Canton,Asian,498,407
0900312270,Canton,Black,274,240
0900312270,Canton,Latino,484,272
0900312270,Canton,Other,165,107.96
0900312270,Canton,Total,10306,21
0900312270,Canton,White,8885,557
0900322070,East Granby,Asian,137,110
0900322070,East Granby,Black,119,137
0900322070,East Granby,Latino,355,256
0900322070,East Granby,Other,203,161.47
0900322070,East Granby,Total,5256,148
0900322070,East Granby,White,4442,348
0900322630,East Hartford,Asian,1977,486
0900322630,East Hartford,Black,11943,950
0900322630,East Hartford,Latino,18029,946
0900322630,East Hartford,Other,1242,332.78
0900322630,East Hartford,Total,50453,48
0900322630,East Hartford,White,17262,965
0900324800,East Windsor,Asian,640,190
0900324800,East Windsor,Black,916,401
0900324800,East Windsor,Latino,724,357
0900324800,East Windsor,Other,295,155.21
0900324800,East Windsor,Total,11379,40
0900324800,East Windsor,White,8804,492
0900325990,Enfield,Asian,1170,339
0900325990,Enfield,Black,3002,469
0900325990,Enfield,Latino,4474,692
0900325990,Enfield,Other,1511,419.21
0900325990,Enfield,Total,44455,38
0900325990,Enfield,White,34298,819
0900327600,Farmington,Asian,2871,358
0900327600,Farmington,Black,467,152
0900327600,Farmington,Latino,1328,487
0900327600,Farmington,Other,553,224.44
0900327600,Farmington,Total,25546,27
0900327600,Farmington,White,20327,643
0900331240,Glastonbury,Asian,2801,319
0900331240,Glastonbury,Black,591,196
0900331240,Glastonbury,Latino,1886,552
0900331240,Glastonbury,Other,680,232.17
0900331240,Glastonbury,Total,34578,34
0900331240,Glastonbury,White,28620,730
0900332640,Granby,Asian,145,125
0900332640,Granby,Black,50,41
0900332640,Granby,Latino,84,63
0900332640,Granby,Other,201,137.04
0900332640,Granby,Total,11305,51
0900332640,Granby,White,10825,205
0900337070,Hartford,Asian,3624,581
0900337070,Hartford,Black,42843,1300
0900337070,Hartford,Latino,55074,1313
0900337070,Hartford,Other,3826,671
0900337070,Hartford,Total,123628,62
0900337070,Hartford,White,18261,1061
0900337140,Hartland,Asian,14,15
0900337140,Hartland,Black,5,6
0900337140,Hartland,Latino,26,33
0900337140,Hartland,Other,139,119.67
0900337140,Hartland,Total,2041,150
0900337140,Hartland,White,1857,130
0900344700,Manchester,Asian,6872,775
0900344700,Manchester,Black,8090,914
0900344700,Manchester,Latino,7606,1004
0900344700,Manchester,Other,2250,473.8
0900344700,Manchester,Total,57955,33
0900344700,Manchester,White,33137,1178
0900345820,Marlborough,Asian,53,75
0900345820,Marlborough,Black,70,81
0900345820,Marlborough,Latino,219,228
0900345820,Marlborough,Other,30,44.8
0900345820,Marlborough,Total,6394,21
0900345820,Marlborough,White,6022,280
0900350440,New Britain,Asian,2167,607
0900350440,New Britain,Black,8447,1003
0900350440,New Britain,Latino,30102,1088
0900350440,New Britain,Other,1919,433.94
0900350440,New Britain,Total,72839,42
0900350440,New Britain,White,30204,1074
0900352140,Newington,Asian,1701,446
0900352140,Newington,Black,1576,568
0900352140,Newington,Latino,2868,355
0900352140,Newington,Other,907,269.66
0900352140,Newington,Total,30323,32
0900352140,Newington,White,23271,796
0900360120,Plainville,Asian,583,315
0900360120,Plainville,Black,276,185
0900360120,Plainville,Latino,1830,373
0900360120,Plainville,Other,231,163.84
0900360120,Plainville,Total,17720,22
0900360120,Plainville,White,14800,575
0900365370,Rocky Hill,Asian,3523,572
0900365370,Rocky Hill,Black,1041,379
0900365370,Rocky Hill,Latino,679,245
0900365370,Rocky Hill,Other,612,308.67
0900365370,Rocky Hill,Total,20137,29
0900365370,Rocky Hill,White,14282,700
0900368940,Simsbury,Asian,730,244
0900368940,Simsbury,Black,420,180
0900368940,Simsbury,Latino,1258,464
0900368940,Simsbury,Other,478,177.7
0900368940,Simsbury,Total,24519,70
0900368940,Simsbury,White,21633,463
0900370550,Southington,Asian,1233,446
0900370550,Southington,Black,637,365
0900370550,Southington,Latino,1940,567
0900370550,Southington,Other,318,159.99
0900370550,Southington,Total,43763,33
0900370550,Southington,White,39635,856
0900371390,South Windsor,Asian,2666,429
0900371390,South Windsor,Black,623,323
0900371390,South Windsor,Latino,1750,392
0900371390,South Windsor,Other,650,236.46
0900371390,South Windsor,Total,25823,34
0900371390,South Windsor,White,20134,587
0900374540,Suffield,Asian,376,216
0900374540,Suffield,Black,1479,448
0900374540,Suffield,Latino,1063,287
0900374540,Suffield,Other,323,197.03
0900374540,Suffield,Total,15662,24
0900374540,Suffield,White,12421,497
0900382590,West Hartford,Asian,4749,548
0900382590,West Hartford,Black,3647,618
0900382590,West Hartford,Latino,6830,534
0900382590,West Hartford,Other,1624,371.74
0900382590,West Hartford,Total,63127,40
0900382590,West Hartford,White,46277,781
0900384900,Wethersfield,Asian,1130,447
0900384900,Wethersfield,Black,973,319
0900384900,Wethersfield,Latino,2459,400
0900384900,Wethersfield,Other,672,255.82
0900384900,Wethersfield,Total,26267,29
0900384900,Wethersfield,White,21033,559
0900387000,Windsor,Asian,1439,335
0900387000,Windsor,Black,11182,852
0900387000,Windsor,Latino,2549,534
0900387000,Windsor,Other,486,188.73
0900387000,Windsor,Total,28917,38
0900387000,Windsor,White,13261,831
0900387070,Windsor Locks,Asian,685,281
0900387070,Windsor Locks,Black,718,383
0900387070,Windsor Locks,Latino,505,231
0900387070,Windsor Locks,Other,391,198.86
0900387070,Windsor Locks,Total,12613,28
0900387070,Windsor Locks,White,10314,476
09005,Litchfield County,Asian,3361,257
09005,Litchfield County,Black,2863,185
09005,Litchfield County,Latino,10941,NA
09005,Litchfield County,Other,2968,374.85
09005,Litchfield County,Total,183031,NA
09005,Litchfield County,White,162898,148
0900502760,Barkhamsted,Asian,113,149
0900502760,Barkhamsted,Black,2,5
0900502760,Barkhamsted,Latino,36,52
0900502760,Barkhamsted,Other,53,56.33
0900502760,Barkhamsted,Total,3671,22
0900502760,Barkhamsted,White,3467,167
0900504930,Bethlehem,Asian,68,83
0900504930,Bethlehem,Black,34,43
0900504930,Bethlehem,Latino,31,25
0900504930,Bethlehem,Other,79,93.34
0900504930,Bethlehem,Total,3452,24
0900504930,Bethlehem,White,3240,132
0900508210,Bridgewater,Asian,13,12
0900508210,Bridgewater,Black,69,77
0900508210,Bridgewater,Latino,46,24
0900508210,Bridgewater,Other,54,40.71
0900508210,Bridgewater,Total,1706,111
0900508210,Bridgewater,White,1524,106
0900510940,Canaan,Asian,11,11
0900510940,Canaan,Black,41,41
0900510940,Canaan,Latino,10,13
0900510940,Canaan,Other,22,31
0900510940,Canaan,Total,1196,127
0900510940,Canaan,White,1112,121
0900516050,Colebrook,Asian,13,22
0900516050,Colebrook,Black,9,14
0900516050,Colebrook,Latino,29,23
0900516050,Colebrook,Other,0,12
0900516050,Colebrook,Total,1518,155
0900516050,Colebrook,White,1467,160
0900517240,Cornwall,Asian,23,23
0900517240,Cornwall,Black,9,9
0900517240,Cornwall,Latino,94,75
0900517240,Cornwall,Other,7,22.27
0900517240,Cornwall,Total,1302,127
0900517240,Cornwall,White,1169,106
0900532290,Goshen,Asian,22,24
0900532290,Goshen,Black,10,14
0900532290,Goshen,Latino,140,121
0900532290,Goshen,Other,115,90.8
0900532290,Goshen,Total,2903,21
0900532290,Goshen,White,2616,148
0900537280,Harwinton,Asian,34,54
0900537280,Harwinton,Black,128,151
0900537280,Harwinton,Latino,55,45
0900537280,Harwinton,Other,32,43.49
0900537280,Harwinton,Total,5469,31
0900537280,Harwinton,White,5220,172
0900540290,Kent,Asian,76,106
0900540290,Kent,Black,187,209
0900540290,Kent,Latino,116,217
0900540290,Kent,Other,108,65.38
0900540290,Kent,Total,2824,18
0900540290,Kent,White,2337,308
0900543370,Litchfield,Asian,91,61
0900543370,Litchfield,Black,100,65
0900543370,Litchfield,Latino,481,252
0900543370,Litchfield,Other,77,65.05
0900543370,Litchfield,Total,8198,23
0900543370,Litchfield,White,7449,273
0900549460,Morris,Asian,14,14
0900549460,Morris,Black,0,12
0900549460,Morris,Latino,47,33
0900549460,Morris,Other,14,27.5
0900549460,Morris,Total,2288,191
0900549460,Morris,White,2213,194
