name,total_pop
Connecticut,3575074
Fairfield County,943926
Hartford County,893561
Litchfield County,182002
Middlesex County,163053
New Haven County,857513
New London County,267390
Tolland County,151063
Windham County,116566
Greater New Haven,463682
Bethel,19663
Bridgeport,145639
Brookfield,17016
Danbury,84619
Darien,21742
Easton,7543
Fairfield,61740
Greenwich,62587
Monroe,19546
New Canaan,20276
New Fairfield,13955
Newtown,27822
Norwalk,88599
Redding,9176
Ridgefield,25042
Shelton,41141
Sherman,3649
Stamford,129309
Stratford,52120
Trumbull,35976
Weston,10287
Westport,28016
Wilton,18463
Avon,18312
Berlin,20484
Bloomfield,21022
Bristol,60218
Burlington,9659
Canton,10288
East Granby,5304
East Hartford,50272
East Windsor,11445
Enfield,44143
Farmington,25528
Glastonbury,34564
Granby,11361
Hartford,123088
Hartland,1982
Manchester,57805
Marlborough,6368
New Britain,72767
Newington,30234
Plainville,17619
Rocky Hill,20168
Simsbury,24799
Southington,43781
South Windsor,25898
Suffield,15688
West Hartford,63063
Wethersfield,26171
Windsor,28859
Windsor Locks,12671
Barkhamsted,3649
Bethlehem,3433
Bridgewater,1707
Canaan,1143
Colebrook,1484
Cornwall,1291
Goshen,2883
Harwinton,5456
Kent,2799
Litchfield,8147
Morris,2205
New Hartford,6703
New Milford,27014
Norfolk,1628
North Canaan,3281
Plymouth,11711
Roxbury,2105
Salisbury,3625
Sharon,2700
Thomaston,7599
Torrington,34489
Warren,1457
Washington,3450
Watertown,21751
Winchester,10730
Woodbury,9562
Chester,4234
Clinton,12944
Cromwell,13910
Deep River,4480
Durham,7221
East Haddam,9007
East Hampton,12827
Essex,6604
Haddam,8227
Killingworth,6392
Middlefield,4381
Middletown,46511
Old Saybrook,10090
Portland,9322
Westbrook,6903
Ansonia,18802
Beacon Falls,6168
Bethany,5513
Branford,28020
Cheshire,29147
Derby,12485
East Haven,28742
Guilford,22216
Hamden,60982
Madison,18113
Meriden,59676
Middlebury,7739
Milford,54328
Naugatuck,31347
New Haven,130331
North Branford,14191
North Haven,23722
Orange,13934
Oxford,13086
Prospect,9705
Seymour,16508
Southbury,19681
Wallingford,44596
Waterbury,108276
West Haven,54763
Wolcott,16615
Woodbridge,8827
Bozrah,2589
Colchester,15860
East Lyme,18724
Franklin,1778
Griswold,11622
Groton,38825
Lebanon,7215
Ledyard,14761
Lisbon,4247
Lyme,2499
Montville,18835
New London,26966
North Stonington,5223
Norwich,39260
Old Lyme,7396
Preston,4657
Salem,4112
Sprague,2906
Stonington,18445
Voluntown,2535
Waterford,18935
Andover,3203
Bolton,4911
Columbia,5417
Coventry,12433
Ellington,16170
Hebron,9512
Mansfield,25799
Somers,11005
Stafford,11881
Tolland,14713
Union,894
Vernon,29232
Willington,5893
Ashford,4236
Brooklyn,8238
Canterbury,5069
Chaplin,2489
Eastford,1653
Hampton,1830
Killingly,17231
Plainfield,15105
Pomfret,4186
Putnam,9361
Scotland,1569
Sterling,3757
Thompson,9351
Windham,24655
Woodstock,7836
